long,lat,country
-0.885108,46.687855,1
17.15,46.983333,3
9.116667,47.883333,2
2.744057,46.751071,1
14.333332999999998,48.483333,0
5.751942,46.576338,1
13.601667,45.786944,4
5.247012000000001,48.579657,1
5.287541,44.442775,1
9.016667,50.883333,2
17.95,47.3,3
6.309130000000001,45.724418,1
6.533333,51.533333,2
9.787222,49.263333,2
6.983333,51.733333,2
16.15,39.166667,4
15.6,48.416667,0
16.417142000000002,46.776646,3
17.466667,45.966667,3
5.657503,44.945684,1
12.466667,49.433333000000005,2
1.610916,48.865589,1
13.583332999999998,42.583333,4
19.674948,47.332286,3
13.833332999999998,52.366667,2
19.65,47.983333,3
12.533333,43.1,4
19.566667,48.083333,3
16.45,47.016667,0
9.2,48.3,2
-2.329716,48.346653,1
5.356603,43.417025,1
6.6,44.7,1
5.113783,45.264387,1
18.2,46.383333,3
10.85,48.15,2
21.666667,48.2,3
2.6392290000000003,46.24825,1
-3.666667,48.65,1
2.985889,50.436362,1
0.313515,43.071289,1
12.5,53.2,2
10.316667,45.233333,4
13.766667000000002,48.516667,0
10.516667,48.516667,2
14.216667,47.55,0
8.583333,51.0,2
18.657435,46.167809000000005,3
7.3,51.183333000000005,2
4.835274,45.065816,1
11.566667,53.683333,2
18.3,46.5,3
11.083333,53.733332999999995,2
18.916667,47.25,3
7.916667,45.8,4
15.166667000000002,48.083333,0
2.166986,48.563487,1
12.316667,47.816666999999995,2
0.8198049999999999,48.675647999999995,1
19.05,46.683333000000005,3
0.589399,45.060863,1
9.15,54.033333,2
0.5,47.183333000000005,1
-2.230485,48.547015,1
18.0,45.95,3
-0.662267,44.955373,1
7.566667,44.583333,4
2.705076,48.797715999999994,1
15.566667,46.7,0
4.847003,44.605022,1
17.938601000000002,46.531811,3
21.5,46.8,3
5.378259,44.683754,1
9.733333,47.666667,2
9.666389,49.219722,2
14.466667,51.6,2
5.751572,44.555606,1
1.326676,48.677093,1
18.633333,46.883333,3
22.566667,47.85,3
3.591823,45.263503,1
11.666667,45.166667,4
7.266667,51.083333,2
16.516667,46.966667,3
1.799841,45.857286,1
6.816667,49.516667,2
-0.831433,44.936215,1
14.15,48.183333000000005,0
9.216667,48.65,2
12.6,43.716667,4
5.509623,48.148239,1
22.366154,47.955032,3
1.990852,47.109243,1
6.6,50.133333,2
13.158889000000002,45.971111,4
-0.283333,45.283333,1
8.383333,45.5,4
12.016667,51.15,2
9.816667,51.083333,2
4.727565,45.021324,1
1.933333,46.316666999999995,1
15.183333,48.816666999999995,0
0.4405989999999999,49.770121,1
10.966667,47.933333000000005,2
15.383333,48.883333,0
4.635123,48.305718,1
3.919795,47.949428999999995,1
